,username,D_centrality,team,level
172,Brunaldo22,0.005,yellow,36
173,AnyLove79,0.005,blue,40
174,skull5492,0.005,blue,40
175,hyordanov,0.005,yellow,34
176,catajesus,0.005,blue,40
177,couves11,0.005,blue,37
178,danielscgo,0.005,red,40
179,gongassauros,0.005,blue,35
180,frenzy73,0.005,red,40
181,eumininel,0.005,yellow,32
182,Augustus61,0.005,red,39
183,mnlr89,0.005,yellow,38
184,CaioSAC,0.005,yellow,40
185,Bastelico,0.005,yellow,34
186,TiagoKenpachi,0.005,red,33
187,poketabom,0.005,yellow,35
188,tascv,0.005,red,37
189,lthejustice,0.005,blue,36
190,TEMPLUSMASTER,0.005,yellow,40
191,Cooper96,0.005,blue,36
192,Cruxish,0.005,red,39
193,nunosilva182,0.005,yellow,32
194,Tchukay,0.005,yellow,36
195,Sttikky,0.005,blue,39
196,Srtoad,0.005,red,39
197,Vcarrega,0.005,blue,40
198,Ticoxande,0.005,yellow,31
199,Arcadefirego,0.0025,red,34
200,1pokefil,0.0025,red,38
201,5Mauro,0.0025,red,35
202,AshNestum,0.0025,blue,40
203,IDreI,0.0025,blue,40
204,Atoniuu,0.0025,yellow,30
205,Hydilus,0.0025,red,25
206,HunterStive,0.0025,blue,29
207,Kajava050,0.0025,blue,31
208,HollowSpawn,0.0025,red,39
209,Kidojoaok,0.0025,blue,40
210,8hrGymIsMaxCoin,0.0025,red,35
211,AmadoxStreet,0.0025,blue,31
212,Invihz,0.0025,red,40
213,JoltikDQ,0.0025,blue,40
214,Ancestral1993,0.0025,red,37
215,Jmcerq,0.0025,blue,33
216,Alextreiner1227,0.0025,blue,37
217,JOR1967,0.0025,yellow,40
218,JohnFire1,0.0025,red,35
219,AzarAChegar,0.0025,red,40
220,AlexandreGil,0.0025,blue,34
221,Alcobia610,0.0025,red,40
222,JMota1994,0.0025,blue,40
223,AndreNunes1992,0.0025,red,35
224,J121warrior,0.0025,yellow,38
225,Aifosofiapesto,0.0025,red,31
226,JohnyBigodes,0.0025,blue,34
227,APipa2102,0.0025,red,35
228,JoeOfTheGames,0.0025,blue,30
229,IsThisMajorTom,0.0025,blue,40
230,Cryogenium,0.0025,red,31
231,rei99999,0.0025,red,28
232,Edas20,0.0025,blue,38
233,CapitaoAlatrist,0.0025,yellow,30
234,Duplicado21,0.0025,red,40
235,DuartehVader,0.0025,blue,40
236,Challenger1602,0.0025,red,40
237,Drigoide21,0.0025,red,38
238,quinete7,0.0025,blue,36
239,DonnieDrakoEU,0.0025,blue,30
240,CilioG0,0.0025,blue,40
241,Do0msdayy,0.0025,yellow,39
242,porodkaito,0.0025,blue,36
243,Diogogomes90,0.0025,red,37
244,DiogoQ16,0.0025,yellow,40
245,DavidsNF,0.0025,yellow,38
246,Costafeller,0.0025,red,36
247,Darksquallleon,0.0025,blue,27
248,rjsm87,0.0025,yellow,40
249,Daniloab,0.0025,blue,38
250,ENDraganerys,0.0025,yellow,33
251,Callofkthulu,0.0025,yellow,33
252,Hayrezz,0.0025,red,36
253,Etorini,0.0025,yellow,31
254,Bentoxvii,0.0025,blue,34
255,BigNoobBoss,0.0025,red,31
256,GrimoireHollow,0.0025,yellow,34
257,Bilrazard,0.0025,red,34
258,Gowrilaz,0.0025,blue,32
259,Bosgas,0.0025,red,36
260,BraaveHeaart,0.0025,red,40
261,Gcardoso01,0.0025,blue,30
262,Gama1134,0.0025,red,26
263,D3lphos,0.0025,blue,36
264,Brooklyhn,0.0025,red,34
265,Galaticvs,0.0025,red,37
266,Gagaspires,0.0025,yellow,38
267,FrancisFzz,0.0025,red,33
268,Filipemaiarosa,0.0025,red,40
269,Cachamelo,0.0025,red,34
270,Exotnaf,0.0025,red,39
271,Brocoly,0.0025,red,40
272,martinero,0.0025,blue,27
273,Kyzouki,0.0025,blue,40
274,L0rdOfEv1L,0.0025,blue,40
275,btgds,0.0025,blue,31
276,brokkendoll,0.0025,yellow,30
277,baggytrousers81,0.0025,blue,37
278,arjarnrb,0.0025,yellow,40
279,anajdev,0.0025,blue,34
280,Zlordpokemonb,0.0025,red,37
281,Zakiusfarinha,0.0025,red,38
282,Wizardmeister,0.0025,yellow,37
283,Whatimblack,0.0025,blue,31
284,nmvssmarques,0.0025,red,31
285,Vbreezy,0.0025,yellow,34
286,Tugateso,0.0025,blue,35
287,Tipassos,0.0025,yellow,37
288,nunofuckinsousa,0.0025,blue,31
289,Tifimeco,0.0025,yellow,40
290,Tiagopitukinha2,0.0025,yellow,38
291,Tandorina,0.0025,red,37
292,TNeckes,0.0025,red,30
293,TMpolicarpo,0.0025,yellow,34
294,vaitupt,0.0025,red,39
295,oMarafade,0.0025,yellow,29
296,Southking1906,0.0025,yellow,24
297,Sn1tram,0.0025,yellow,37
298,SinTomas,0.0025,red,37
299,SilverWolfPTPT,0.0025,red,36
300,Silva10mateus,0.0025,blue,40
301,ShyeraL,0.0025,blue,38
302,Seeker06,0.0025,red,35
303,SeIIene,0.0025,blue,40
304,bumboclausto,0.0025,blue,40
305,cacanacueca,0.0025,yellow,30
306,catygalhanas,0.0025,red,35
307,jdavidgil,0.0025,red,40
308,magaleska,0.0025,blue,40
309,m1ndHackz,0.0025,red,30
310,mavmgm95,0.0025,red,34
311,loia16,0.0025,red,33
312,lfdamo,0.0025,blue,36
313,leFux,0.0025,red,34
314,micaandrade2902,0.0025,blue,33
315,kabonga82,0.0025,blue,40
316,julio2341,0.0025,red,30
317,jpcc00,0.0025,red,36
318,jonhylopes1999,0.0025,red,31
319,joadiaf,0.0025,yellow,36
320,jmst83,0.0025,blue,40
321,jalavais,0.0025,red,34
322,d1Ruk,0.0025,yellow,40
323,shlanshan8,0.0025,blue,33
324,itsausername,0.0025,red,28
325,hugomartins11,0.0025,blue,28
326,hrflopes,0.0025,blue,40
327,gymboy777,0.0025,yellow,40
328,fli0dhais,0.0025,blue,36
329,felizardopt,0.0025,yellow,40
330,fcmatias,0.0025,blue,36
331,fbernardo,0.0025,blue,35
332,dishadow99,0.0025,blue,28
333,didas29,0.0025,red,36
334,dash13062,0.0025,blue,38
335,danielasm4,0.0025,blue,31
336,SaraSCZ,0.0025,blue,40
337,Santoscjp,0.0025,blue,37
338,Rodrigoats,0.0025,blue,30
339,MichelJ23,0.0025,blue,38
340,OrnitorrinkoXD,0.0025,red,36
341,OrangeOlympus,0.0025,yellow,36
342,Nir1972,0.0025,yellow,40
343,NerfertitiiGirl,0.0025,yellow,35
344,Nepia98,0.0025,blue,40
345,NJS76,0.0025,yellow,39
346,MysthicFoxGirl,0.0025,blue,39
347,Morabidino23,0.0025,blue,40
348,Moozdzn,0.0025,yellow,28
349,MisterManding0,0.0025,yellow,40
350,Milkas123,0.0025,blue,40
351,Miguelvidex,0.0025,red,32
352,MightyRuca,0.0025,blue,40
353,Mgmartinss,0.0025,blue,39
354,PMPM74,0.0025,blue,38
355,MegaSharkG0,0.0025,blue,40
356,Maste2436,0.0025,yellow,39
357,ManteigaDeLula,0.0025,blue,36
