,username,B_centrality,team,level
137,Ginorberigio,0.0005176187636657528,blue,40
138,Tchukay,0.0005176187636657528,yellow,36
139,WhiteU,0.0005176187636657528,yellow,37
140,JoaoVM07,0.0004776502003987248,yellow,40
141,MaraujoAndre,0.00040838703902613705,yellow,37
142,poketabom,0.00040753442643476985,yellow,35
143,bernasmr,0.00040753442643476985,red,34
144,NunoReix,0.00040753442643476985,blue,34
145,JMRC1992,0.00040753442643476985,yellow,35
146,BrunoMatos82,0.000371261918214814,red,34
147,napalm4dw,0.00033950071256572817,blue,36
148,Burgburs,0.00033464365089432675,yellow,38
149,Cruxish,0.00033464365089432675,red,39
150,RichieSanti20,0.00033284435657919645,yellow,31
151,Castanheira1985,0.0003056931452174588,red,40
152,FakadasMC,0.0003056931452174588,red,33
153,ElisabeteJesus,0.0002739469287253222,blue,40
154,Chentobi,0.0002602683512614632,blue,39
155,Crucefix,0.0002583080818378499,yellow,34
156,Blankingdom,0.00025181623969690125,blue,40
157,Pedroalvim13,0.00023632234964679808,yellow,32
158,Zecaxi,0.00023632234964679808,blue,40
159,migueldajuda,0.0001758016225695312,blue,38
160,Rrotiv,0.00017371980886492265,red,35
161,Jotsifo,0.00010978346575174071,red,37
162,RicardoLeeXc,0.00010454300198882241,red,40
163,frenzy73,9.068192664132533e-05,red,40
164,Sttikky,7.968083647600846e-05,blue,39
165,CRAZYPLAYY,7.123974605177613e-05,blue,31
166,RicardoRibeir0,6.969815776371639e-05,red,40
167,jobesanitas,6.084740168715213e-05,blue,40
168,lanr912,3.6400525122329637e-05,yellow,40
169,Zibs2,3.477443609022557e-05,blue,33
170,FRAGZ,3.477443609022557e-05,red,35
171,naginii33,2.5062656641604008e-05,yellow,38
172,peterrareosa,1.879699248120301e-05,yellow,38
173,eumininel,1.2531328320802006e-05,yellow,32
174,Rubenford,1.2531328320802006e-05,blue,40
175,L0rdOfEv1L,0.0,blue,40
176,Galaticvs,0.0,red,37
177,Jmcerq,0.0,blue,33
178,J121warrior,0.0,yellow,38
179,Gagaspires,0.0,yellow,38
180,FrancisFzz,0.0,red,33
181,JOR1967,0.0,yellow,40
182,Filipemaiarosa,0.0,red,40
183,JMota1994,0.0,blue,40
184,Gcardoso01,0.0,blue,30
185,Kyzouki,0.0,blue,40
186,Gama1134,0.0,red,26
187,JohnFire1,0.0,red,35
188,Kidojoaok,0.0,blue,40
189,Hayrezz,0.0,red,36
190,JoeOfTheGames,0.0,blue,30
191,oMarafade,0.0,yellow,29
192,HunterStive,0.0,blue,29
193,JohnyBigodes,0.0,blue,34
194,IDreI,0.0,blue,40
195,JoltikDQ,0.0,blue,40
196,HollowSpawn,0.0,red,39
197,onericardo,0.0,red,34
198,Kajava050,0.0,blue,31
199,nunofuckinsousa,0.0,blue,31
200,GrimoireHollow,0.0,yellow,34
201,Invihz,0.0,red,40
202,Gowrilaz,0.0,blue,32
203,IsThisMajorTom,0.0,blue,40
204,nmvssmarques,0.0,red,31
205,Hydilus,0.0,red,25
206,hrflopes,0.0,blue,40
207,DavidsNF,0.0,yellow,38
208,Exotnaf,0.0,red,39
209,Etorini,0.0,yellow,31
210,tascv,0.0,red,37
211,Brunaldo22,0.0,yellow,36
212,Brooklyhn,0.0,red,34
213,Brocoly,0.0,red,40
214,BraaveHeaart,0.0,red,40
215,Bosgas,0.0,red,36
216,Bilrazard,0.0,red,34
217,BigNoobBoss,0.0,red,31
218,Bentoxvii,0.0,blue,34
219,vaitupt,0.0,red,39
220,AzarAChegar,0.0,red,40
221,Atoniuu,0.0,yellow,30
222,AshNestum,0.0,blue,40
223,Arcadefirego,0.0,red,34
224,AnyLove79,0.0,blue,40
225,verbal1971,0.0,red,38
226,AndreNunes1992,0.0,red,35
227,Ancestral1993,0.0,red,37
228,AmadoxStreet,0.0,blue,31
229,Alextreiner1227,0.0,blue,37
230,AlexandreGil,0.0,blue,34
231,Alcobia610,0.0,red,40
232,Aifosofiapesto,0.0,red,31
233,APipa2102,0.0,red,35
234,8hrGymIsMaxCoin,0.0,red,35
235,5Mauro,0.0,red,35
236,1pokefil,0.0,red,38
237,Cachamelo,0.0,red,34
238,CaioSAC,0.0,yellow,40
239,Callofkthulu,0.0,yellow,33
240,DiogoQ16,0.0,yellow,40
241,porodkaito,0.0,blue,36
242,Edas20,0.0,blue,38
243,ENDraganerys,0.0,yellow,33
244,quinete7,0.0,blue,36
245,Duplicado21,0.0,red,40
246,DudaFCM7,0.0,red,37
247,DuartehVader,0.0,blue,40
248,Drigoide21,0.0,red,38
249,DonnieDrakoEU,0.0,blue,30
250,Do0msdayy,0.0,yellow,39
251,rei99999,0.0,red,28
252,Diogogomes90,0.0,red,37
253,LeCaesar,0.0,red,40
254,CapitaoAlatrist,0.0,yellow,30
255,ricardoiraq,0.0,blue,40
256,Darksquallleon,0.0,blue,27
257,rjsm87,0.0,yellow,40
258,Daniloab,0.0,blue,38
259,D3lphos,0.0,blue,36
260,Cryogenium,0.0,red,31
261,Costafeller,0.0,red,36
262,Cooper96,0.0,blue,36
263,shlanshan8,0.0,blue,33
264,CilioG0,0.0,blue,40
265,skull5492,0.0,blue,40
266,Challenger1602,0.0,red,40
267,LXLocco,0.0,blue,39
268,Morabidino23,0.0,blue,40
269,LeTicks,0.0,blue,34
270,SilverWolfPTPT,0.0,red,36
271,Tipassos,0.0,yellow,37
272,jonhylopes1999,0.0,red,31
273,Tifimeco,0.0,yellow,40
274,Tiagopitukinha2,0.0,yellow,38
275,Tandorina,0.0,red,37
276,TNeckes,0.0,red,30
277,TMpolicarpo,0.0,yellow,34
278,TEMPLUSMASTER,0.0,yellow,40
279,jpcc00,0.0,red,36
280,julio2341,0.0,red,30
281,kabonga82,0.0,blue,40
282,Southking1906,0.0,yellow,24
283,Sn1tram,0.0,yellow,37
284,SinTomas,0.0,red,37
285,Silva10mateus,0.0,blue,40
286,Lfrjesus,0.0,blue,40
287,ShyeraL,0.0,blue,38
288,Seeker06,0.0,red,35
289,SeIIene,0.0,blue,40
290,SaraSCZ,0.0,blue,40
291,Santoscjp,0.0,blue,37
292,Samaheras,0.0,blue,40
293,SN0OP3R7,0.0,blue,37
294,RuiCaneira,0.0,blue,40
295,Rodrigoats,0.0,blue,30
296,RocketSummoner,0.0,yellow,33
297,RitzMendes,0.0,blue,40
298,Riimiranda,0.0,blue,35
299,RicardoSanptlx,0.0,blue,40
300,RicardoJMF91,0.0,yellow,31
301,Tugateso,0.0,blue,35
302,Vbreezy,0.0,yellow,34
303,joadiaf,0.0,yellow,36
304,jmst83,0.0,blue,40
305,hugomartins11,0.0,blue,28
306,fli0dhais,0.0,blue,36
307,felizardopt,0.0,yellow,40
308,fcmatias,0.0,blue,36
309,fbernardo,0.0,blue,35
310,dishadow99,0.0,blue,28
311,didas29,0.0,red,36
312,dash13062,0.0,blue,38
313,danielasm4,0.0,blue,31
314,d1Ruk,0.0,yellow,40
315,couves11,0.0,blue,37
316,catygalhanas,0.0,red,35
317,cacanacueca,0.0,yellow,30
318,bumboclausto,0.0,blue,40
319,btgds,0.0,blue,31
320,hyordanov,0.0,yellow,34
321,brokkendoll,0.0,yellow,30
322,bela154,0.0,yellow,38
323,baggytrousers81,0.0,blue,37
324,arjarnrb,0.0,yellow,40
325,anajdev,0.0,blue,34
326,adiogopaiva,0.0,red,40
327,itsausername,0.0,red,28
328,Zlordpokemonb,0.0,red,37
329,jalavais,0.0,red,34
330,Zakiusfarinha,0.0,red,38
331,jdavidgil,0.0,red,40
332,Wizardmeister,0.0,yellow,37
333,Whatimblack,0.0,blue,31
334,Rfa18,0.0,yellow,34
335,RestDragon1,0.0,blue,27
336,RedAngel1904,0.0,red,31
337,OrnitorrinkoXD,0.0,red,36
338,NunoTheMaster,0.0,red,40
339,martinero,0.0,blue,27
340,Nir1972,0.0,yellow,40
341,NerfertitiiGirl,0.0,yellow,35
342,Nepia98,0.0,blue,40
343,mavmgm95,0.0,red,34
344,NMRPGugas,0.0,red,40
345,NJS76,0.0,yellow,39
346,MysthicFoxGirl,0.0,blue,39
347,MrKunami,0.0,yellow,33
348,micaandrade2902,0.0,blue,33
349,gymboy777,0.0,yellow,40
350,Moozdzn,0.0,yellow,28
351,MisterManding0,0.0,yellow,40
352,Milkas123,0.0,blue,40
353,Miguelvidex,0.0,red,32
354,MightyRuca,0.0,blue,40
355,MichelJ23,0.0,blue,38
356,Mgmartinss,0.0,blue,39
357,MegaSharkG0,0.0,blue,40
358,Maste2436,0.0,yellow,39
359,ManteigaDeLula,0.0,blue,36
360,MTBacano,0.0,red,33
361,MMartins7,0.0,red,32
362,mnlr89,0.0,yellow,38
363,MANELRIBEIRO,0.0,blue,36
364,LuckyGuest,0.0,yellow,34
365,LuckKrlosPs,0.0,yellow,40
366,LigmaMarbles,0.0,yellow,34
367,OrangeOlympus,0.0,yellow,36
