,lat,log,location,string
181,-9.1458191,38.7452115,wall with scenic mural,-9.145819138.7452115
182,-9.145812800000002,38.7362801,edifício garrigues,-9.14581280000000238.7362801
183,-9.1458057,38.7316715,saldanha archway,-9.145805738.7316715
184,-9.1453658,38.7321904,movie men,-9.145365838.7321904
185,-9.1445079,38.7303069,jardim henrique lopes mendonça,-9.144507938.7303069
186,-9.1444864,38.7288213,hotel alicante,-9.144486438.7288213
187,-9.1440121,38.74610870000001,fountain,-9.144012138.74610870000001
188,-9.1438547,38.7416049,biblioteca palácio galveias,-9.143854738.7416049
189,-9.1431968,38.7347606,naval club building,-9.143196838.7347606
190,-9.1426278,38.741729,caixa geral de depósitos,-9.142627838.741729
191,-9.1423021,38.7367488,casa da moeda,-9.142302138.7367488
192,-9.1412634,38.7275581,templo adventista,-9.141263438.7275581
193,-9.1411756,38.7584178,laboratório nacional de engenharia civil (lnec),-9.141175638.7584178
194,-9.1408128,38.7259887,general gomes freire de andrade,-9.140812838.7259887
195,-9.1407999,38.7596286,manuel rocha,-9.140799938.7596286
196,-9.1404995,38.74123529999999,cgd building,-9.140499538.74123529999999
197,-9.1398436,38.75575870000001,mercado de alvalade,-9.139843638.75575870000001
198,-9.1389344,38.73835029999999,contrapunto,-9.138934438.73835029999999
199,-9.1381416,38.7551333,igreja de são joão de brito,-9.138141638.7551333
200,-9.1378066,38.7433792,jardim fernando pessa,-9.137806638.7433792
201,-9.1376726,38.7518487,1º de maio,-9.137672638.7518487
202,-9.1376589,38.7404378,praça de londres - igreja,-9.137658938.7404378
203,-9.137592199999998,38.75163120000001,inatel,-9.13759219999999838.75163120000001
204,-9.1374857,38.7312605,estátua do jardim constantino,-9.137485738.7312605
205,-9.1365234,38.7451993,são joão de deus,-9.136523438.7451993
206,-9.1362427,38.7371235,ad ephemeran gloriam,-9.136242738.7371235
207,-9.13582622749874,38.745607,roma areeiro (na av de roma),-9.1358262274987438.745607
208,-9.135796699999998,38.7248704,joana vasconcelos,-9.13579669999999838.7248704
209,-9.135776,38.7199237,águas livres,-9.13577638.7199237
210,-9.1340446,38.737298,metro da alameda,-9.134044638.737298
211,-9.1336211,38.73742410000001,street art pillar,-9.133621138.73742410000001
212,-9.1334267,38.7226,edifício folhas verdes,-9.133426738.7226
213,-9.1330359,38.7310973,balance mural,-9.133035938.7310973
214,-9.132349,38.7470662,killing the dragon,-9.13234938.7470662
215,-9.1317101,38.716517,busto de sophia de mello breyner,-9.131710138.716517
216,-9.1315277,38.726072,miradouro do monte agudo,-9.131527738.726072
217,-9.1312764,38.730344,igreja da penha de frança,-9.131276438.730344
218,-9.1306989,38.727022,azulejos luísa de gusmão,-9.130698938.727022
219,-9.1303695,38.7415874,use solar power street art,-9.130369538.7415874
220,-9.1302989,38.7373201,alameda fonte monumental,-9.130298938.7373201
221,-9.1302859,38.7593975,parque josé gomes ferreira,-9.130285938.7593975
222,-9.1294809,38.7201434,the book tree,-9.129480938.7201434
223,-9.1271431,38.7312074,the two bears,-9.127143138.7312074
224,-9.1267702,38.7313664,junta de freguesia penha de frança,-9.126770238.7313664
225,-9.1267231,38.7210666,casa de nascimento de latino coelho,-9.126723138.7210666
226,-9.1247492,38.738384,jardim tristão da silva,-9.124749238.738384
227,-9.1245979,38.72791210000001,o caracol no jardim,-9.124597938.72791210000001
228,-9.1243703,38.75057750000001,sculpture at parque da bela vista,-9.124370338.75057750000001
229,-9.124184800000002,38.7401456,painel da estação das olaias,-9.12418480000000238.7401456
230,-9.1241365,38.7426393,rua manuel dos santos,-9.124136538.7426393
231,-9.1229615,38.7448542,mocho,-9.122961538.7448542
232,-9.1225338,38.7292194,cemitério do alto de são joão,-9.122533838.7292194
233,-9.1220927,38.7409364,tubes and cubes,-9.122092738.7409364
234,-9.1216362,38.7710981,joão ferreira do amaral statue,-9.121636238.7710981
235,-9.120156199999998,38.7469477,urban chick,-9.12015619999999838.7469477
236,-9.1186636,38.7658939,big pet,-9.118663638.7658939
237,-9.1165607,38.7657349,fernando pessoa portal,-9.116560738.7657349
238,-9.1157268,38.7689234,the tin man,-9.115726838.7689234
239,-9.113106,38.76325870000001,quinta pedagogica dos olivais,-9.11310638.76325870000001
240,-9.110744699999998,38.7814019,igreja paroquial de cristo rei,-9.11074469999999838.7814019
241,-9.1098864,38.78337570000001,campos ténis portela,-9.109886438.78337570000001
242,-9.1097372,38.7664878,cherry muffin,-9.109737238.7664878
243,-9.1071622,38.7687464,igreja dos olivais,-9.107162238.7687464
244,-9.1070111,38.788427,old gate into the center of the earth,-9.107011138.788427
245,-9.1035574,38.762606700000006,utic angel,-9.103557438.762606700000006
246,-9.1034715,38.7631588,epal fountain,-9.103471538.7631588
247,-9.1028355,38.9061355,miradouro de loures,-9.102835538.9061355
248,-9.1025371,38.7790852,igreja de moscavide,-9.102537138.7790852
249,-9.1023986,38.76862929999999,mural cowboys & índios,-9.102398638.76862929999999
250,-9.1023655,38.7785833,moscavide 60 anos,-9.102365538.7785833
251,-9.1001349,38.7678095,gare do oriente,-9.100134938.7678095
252,-9.099908500000002,38.8064675,water tower,-9.09990850000000238.8064675
253,-9.0990233,38.8029434,igreja da bobadela,-9.099023338.8029434
254,-9.098729400000002,38.7738321,cool waves,-9.09872940000000238.7738321
255,-9.0986962,38.7812179,vidrão das alforrecas,-9.098696238.7812179
256,-9.0981286,38.7575034,vidrão blue smile,-9.098128638.7575034
257,-9.0975277,38.7670571,torre são gabriel,-9.097527738.7670571
258,-9.0970771,38.7552444,padrão,-9.097077138.7552444
259,-9.0967767,38.7704701,"sereias, mar mediterrâneo",-9.096776738.7704701
260,-9.096570300000002,38.7628444,ageas,-9.09657030000000238.7628444
262,-9.0964978,38.7708549,vidrão farol,-9.096497838.7708549
261,-9.0964978,38.7683956,torre são rafael,-9.096497838.7683956
263,-9.0964968,38.7855167,torre da divina trindade,-9.096496838.7855167
264,-9.0962779,38.76192070000001,gil 98,-9.096277938.76192070000001
265,-9.0959305,38.777195,wave,-9.095930538.777195
266,-9.0956609,38.7693157,vulcão da fil,-9.095660938.7693157
267,-9.0955751,38.76238920000001,molécula do futebol,-9.095575138.76238920000001
268,-9.095253199999998,38.7685963,pavilhão atlântico - meo arena,-9.09525319999999838.7685963
269,-9.0945666,38.7546922,prédio veleiro,-9.094566638.7546922
270,-9.094233,38.7799968,69 homens de bessines,-9.09423338.7799968
271,-9.0942233,38.7610506,oceanário waterfall,-9.094223338.7610506
272,-9.0934937,38.7574364,ferro fundido,-9.093493738.7574364
273,-9.0926559,38.7857843,toban,-9.092655938.7857843
274,-9.092462800000002,38.7860937,ponte vasco da gama,-9.09246280000000238.7860937
275,-9.0923564,38.7676594,gil expo98,-9.092356438.7676594
276,-9.0920775,38.7720928,pisou lisboa,-9.092077538.7720928
277,-9.0916474,38.7748111,torre vasco da gama,-9.091647438.7748111
278,-9.0914459,38.7756727,painel azulejos,-9.091445938.7756727
279,-9.091175300000002,38.7816862,catarina de bragança,-9.09117530000000238.7816862
